Words	Freq_raw_that	Freq_raw_to	Freq_exp_that	Freq_exp_to	Preference	delta.p.constr1.cues.word	delta.p.word.cues.constr1	Coll_strength
negligible	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
newsworthy	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
nonsense	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
nontrivial	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
novel	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
offensive	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
organic	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
original	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
outrageous	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
pathetic	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
perfect	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
perilous	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
pernicious	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
pitiful	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
political	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
powerful	1	2	1.5	1.5	Adj_to	0	-0.167	0.301
pragmatic	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
praiseworthy	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
prejudicial	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
prestigious	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
profitable	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
progressive	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
prohibitive	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
proportional	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
questionable	3	4	3.5	3.5	Adj_to	0	-0.071	0.301
rash	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
reducible	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
responsible	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
right	11	12	11.5	11.5	Adj_to	0	-0.022	0.301
rubbish	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
satisfactory	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
scary	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
sexy	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
shortsighted	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
sickening	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
silly	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
smart	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
sound	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
spurious	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
stressful	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
suitable	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
susceptible	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
tedious	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
traditional	1	2	1.5	1.5	Adj_to	0	-0.167	0.301
unbearable	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
unhelpful	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
unjustifiable	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
unpatriotic	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
unproductive	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
unreachable	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
unreal	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
unsatisfactory	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
unscientific	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
unscrupulous	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
unseemly	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
unsettling	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
untenable	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
vain	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
warriorlike	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
wishful	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
wrongheaded	0	1	0.5	0.5	Adj_to	0	-0.5	0.301
crucial	75	75	75	75	no_preference	0	0	0.274
incredible	3	3	3	3	no_preference	0	0	0.183
mandatory	3	3	3	3	no_preference	0	0	0.183
peculiar	2	2	2	2	no_preference	0	0	0.163
admirable	1	1	1	1	no_preference	0	0	0.125
compelling	1	1	1	1	no_preference	0	0	0.125
confusing	1	1	1	1	no_preference	0	0	0.125
consistent	1	1	1	1	no_preference	0	0	0.125
crazy	1	1	1	1	no_preference	0	0	0.125
daunting	1	1	1	1	no_preference	0	0	0.125
explicit	1	1	1	1	no_preference	0	0	0.125
fragile	1	1	1	1	no_preference	0	0	0.125
illustrative	1	1	1	1	no_preference	0	0	0.125
inconsistent	1	1	1	1	no_preference	0	0	0.125
integral	1	1	1	1	no_preference	0	0	0.125
perverse	1	1	1	1	no_preference	0	0	0.125
shameful	1	1	1	1	no_preference	0	0	0.125
unbelievable	1	1	1	1	no_preference	0	0	0.125
unnatural	1	1	1	1	no_preference	0	0	0.125
